index,appId,image,title,current,currentPeak,allTimePeak,currentPrice,lowerPrice,description,exact,mainStory,portrait
68.,526870,https://cdn.cloudflare.steamstatic.com/steam/apps/526870/capsule_sm_120.jpg?t=1650907746,Satisfactory,"13,714","16,848","34,238",CLP$ 11800,CLP$ 8260,"Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!",true,85h 15m ,/games/65835_Satisfactory.jpg
69.,960090,https://cdn.cloudflare.steamstatic.com/steam/apps/960090/capsule_sm_120.jpg?t=1650580026,Bloons TD 6,"13,407","17,313","53,943",CLP$ 4400,CLP$ 440,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,true,33h 56m ,/games/57650_Bloons_TD_6.jpg
70.,1222670,https://cdn.cloudflare.steamstatic.com/steam/apps/1222670/capsule_sm_120.jpg?t=1650658646,The Sims™ 4,"13,265","17,259","36,166",CLP$ 15900,CLP$ 3828,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,false,N/A,N/A
71.,513710,https://cdn.cloudflare.steamstatic.com/steam/apps/513710/capsule_sm_120.jpg?t=1650876818,SCUM,"13,247","18,760","68,322",CLP$ 13500,CLP$ 5159,"SCUM aims to evolve the multiplayer open world survival game with unprecedented levels of character customization, control and progression, where knowledge and skills are the ultimate weapons for long-term survival.",true,1h 20m ,/games/60387_Scum.jpg
72.,1281930,https://cdn.cloudflare.steamstatic.com/steam/apps/1281930/capsule_sm_120.jpg?t=1650821469,tModLoader,"12,972","19,368","30,513",N/A,N/A,"Dig, Fight, and Build your way through the world of player-created mods on Terraria with tModLoader - this DLC makes modding Terraria a reality!",true,45h ,/games/78284_tModLoader.jpg
73.,550,https://cdn.cloudflare.steamstatic.com/steam/apps/550/capsule_sm_120.jpg?t=1650259914,Left 4 Dead 2,"12,656","18,808","162,399",CLP$ 4400,CLP$ 770,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",true,73%,/games/250px-Left4Dead2.jpg
74.,1677740,https://cdn.cloudflare.steamstatic.com/steam/apps/1677740/capsule_sm_120.jpg?t=1650571435,Stumble Guys,"12,628","16,209","21,842",N/A,CLP$ 1900,"Race through obstacle courses against up to 32 players online. Run, jump and dash to the finish line until the best player takes the crown!",false,N/A,N/A
75.,1263850,https://cdn.cloudflare.steamstatic.com/steam/apps/1263850/capsule_sm_120.jpg?t=1648597775,Football Manager 2021,"12,410","12,839","93,865",N/A,CLP$ 11600,"New additions and game upgrades deliver added levels of depth, drama and football authenticity. FM21 empowers you like never before to develop your skills and command success at your club.",true,146h 50m ,/games/85405_Football_Manager_2021.jpg
76.,10,https://cdn.cloudflare.steamstatic.com/steam/apps/10/capsule_sm_120.jpg?t=1619479029,Counter-Strike,"12,270","14,126","319,586",CLP$ 4400,CLP$ 440,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,true,493h 06m ,/games/250px-Counter-Strike_Box.jpg
77.,632360,https://cdn.cloudflare.steamstatic.com/steam/apps/632360/capsule_sm_120.jpg?t=1650658646,Risk of Rain 2,"12,259","17,009","71,548",CLP$ 12000,CLP$ 6000,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.",true,11h 32m ,/games/65967_Risk_of_Rain_2.jpg
78.,393380,https://cdn.cloudflare.steamstatic.com/steam/apps/393380/capsule_sm_120.jpg?t=1650032886,Squad,"12,172","15,807","26,104",CLP$ 18500,CLP$ 9150,"Squad is a tactical FPS that provides authentic combat experiences through teamwork, constant communication, and gameplay. It bridges the large gap between arcade shooter and military simulation with 100 player battles, combined arms combat, base building, and a great integrated VoIP system",true,50h 51m ,/games/Squad_header.jpg
79.,1174180,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1650528480,Red Dead Redemption 2,"12,112","19,989","55,271",CLP$ 39990,CLP$ 19995,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",true,49h 17m ,/games/27100_Red_Dead_Redemption_2.jpg
80.,1644960,https://cdn.cloudflare.steamstatic.com/steam/apps/1644960/capsule_sm_120.jpg?t=1650580858,NBA 2K22,"11,423","25,124","33,012",CLP$ 24196 at -67%,CLP$ 14516,"NBA 2K22 puts the entire basketball universe in your hands. Anyone, anywhere can hoop in NBA 2K22.",true,148h 22m ,/games/98207_NBA_2K22.jpg
